TimeStamp,XAccel,YAccel,ZAccel
35937,1912,2100,2676
36577,1920,2074,2636
37217,1912,2117,2620
37857,1880,2098,2704
38497,1922,2079,2695
39137,1930,2070,2702
39777,1921,2097,2642
40417,1888,2083,2671
41057,1902,2102,2658
41697,1885,2089,2686
42337,1937,2100,2673
42977,1926,2091,2702
43617,1907,2100,2680
44257,1912,2103,2728
44897,1910,2091,2749
45537,1907,2059,2778
46177,1952,2061,2711
46817,1953,2081,2676
47457,1933,2123,2681
48097,1926,2082,2727
48737,1930,2085,2677
49377,1928,2091,2704
50017,1933,2093,2665
50657,1898,2124,2625
51297,1925,2104,2689
51937,1945,2083,2743
52577,1937,2073,2736
53217,1908,2098,2698
53857,1887,2106,2657
54497,1911,2090,2719
55137,1956,2097,2715
55777,1916,2079,2683
56417,1891,2097,2673
57057,1876,2097,2678
57697,1878,2082,2698
58337,1894,2079,2686
58977,1923,2083,2725
59617,1937,2084,2708
60257,1874,2080,2655
60897,1871,2062,2604
61537,1875,2069,2639
62177,1923,2078,2658
62817,1934,2079,2735
63457,1875,2091,2739
64097,1827,2118,2699
64737,1822,2094,2708
65377,1872,2044,2731
481,1870,2066,2761
1121,1851,2062,2771
1761,1816,2052,2744
2401,1782,2076,2706
3041,1752,2081,2655
3681,1796,2051,2631
4321,1813,2055,2655
4961,1836,2063,2678
5601,1798,2091,2654
6241,1793,2107,2699
6881,1868,2097,2673
7521,1842,2119,2648
8161,1830,2103,2719
8801,1803,2121,2723
9441,1835,2123,2716
10081,1845,2118,2721
10721,1857,2127,2679
11361,1830,2113,2694
12001,1814,2134,2758
12641,1843,2157,2691
13281,1864,2092,2669
13921,1877,2136,2639
14561,1876,2121,2708
15201,1845,2133,2871
15841,1773,2147,2847
16481,1805,2130,2716
17121,1827,2097,2639
17761,1848,2091,2673
18401,1853,2093,2759
19041,1856,2103,2706
19681,1863,2084,2737
20321,1883,2080,2676
20961,1887,2066,2627
21601,1878,2075,2694
22241,1876,2052,2720
22881,1884,2067,2687
23521,1867,2075,2685
24161,1849,2073,2689
24801,1860,2075,2741
25441,1845,2065,2740
26081,1868,2096,2723
26721,1832,2094,2694
27361,1826,2122,2667
28001,1817,2109,2694
28641,1855,2063,2662
29281,1887,2065,2657
29921,1876,2083,2673
30561,1853,2065,2665
31201,1817,2092,2633
31841,1897,2065,2633
32481,1904,2047,2655
33121,1848,2060,2664
33761,1840,2079,2701
34401,1905,2102,2680
35041,1916,2135,2668
35681,1841,2097,2695
36321,1829,2041,2727
36961,1792,2082,2775
37601,1873,2142,2704
38241,1847,2136,2650
38881,1855,2182,2589
39521,1858,2203,2646
40161,1827,2176,2756
40801,1821,2183,2832
41441,1857,2198,2865
42081,1859,2189,2855
42721,1838,2186,2775
43361,1808,2167,2659
44001,1791,2203,2617
44641,1822,2179,2718
45281,1828,2164,2732
45921,1840,2163,2668
46561,1845,2129,2614
47201,1826,2156,2599
47841,1793,2143,2630
48481,1842,2110,2619
49121,1845,2126,2659
49761,1865,2096,2669
50401,1827,2121,2645
51041,1825,2133,2659
51681,1818,2124,2750
52321,1857,2091,2701
52961,1773,2125,2715
53601,1744,2109,2707
54241,1838,2078,2747
54881,1931,2053,2753
55521,1965,2082,2778
56161,1866,2125,2871
56801,1825,2102,2897
57441,1849,2084,2851
58081,1855,2076,2804
58721,1874,2065,2735
59361,1883,2092,2698
60001,1864,2053,2655
60641,1842,2070,2663
61281,1840,2070,2666
61921,1847,2097,2669
62561,1801,2123,2730
63201,1781,2156,2683
63841,1821,2147,2604
64481,1828,2103,2571
65121,1838,2090,2537
225,1825,2099,2562
865,1812,2076,2587
1505,1823,2064,2654
2145,1877,2074,2635
2785,1834,2080,2623
3425,1783,2073,2599
4065,1763,2083,2569
4705,1792,2078,2591
5345,1799,2105,2647
5985,1863,2163,2702
6625,1801,2097,2737
7265,1803,2020,2738
7905,1820,1992,2825
8545,1880,2045,2843
9185,1874,2089,2792
9825,1892,2146,2785
10465,1867,2155,2768
11105,1782,2151,2820
11745,1795,2158,2816
12385,1812,2142,2795
13025,1892,2127,2770
13665,1835,2155,2698
14305,1731,2173,2661
14945,1711,2175,2591
15585,1748,2167,2479
16225,1803,2127,2499
16865,1783,2166,2515
17505,1699,2159,2591
18145,1712,2152,2568
18785,1744,2118,2489
19425,1771,2113,2563
20065,1754,2132,2631
20705,1715,2118,2696
21345,1770,2111,2663
21985,1802,2139,2601
22625,1809,2132,2579
23265,1690,2152,2731
23905,1714,2099,2794
24545,1802,2082,2749
25185,1855,2095,2599
25825,1804,2159,2555
26465,1711,2194,2593
27105,1693,2222,2804
