TimeStamp,XAccel,YAccel,ZAccel
53025,1074,2413,1689
53665,1069,2394,1684
54305,1064,2420,1660
54945,1063,2431,1668
55585,1061,2398,1676
56225,1063,2418,1667
56865,1071,2407,1663
57505,1083,2409,1667
58145,1077,2435,1662
58785,1077,2424,1649
59425,1091,2429,1660
60065,1060,2421,1680
60705,1071,2433,1632
61345,1067,2415,1655
61985,1078,2420,1659
62625,1078,2401,1671
63265,1078,2423,1646
63905,1070,2398,1663
64545,1088,2424,1708
65185,1069,2413,1674
289,1066,2423,1677
929,1064,2413,1671
1569,1069,2407,1664
2209,1062,2414,1687
2849,1062,2417,1655
3489,1065,2421,1662
4129,1072,2415,1665
4769,1077,2416,1670
5409,1047,2412,1651
6049,1067,2402,1685
6689,1070,2390,1657
7329,1064,2392,1650
7969,1070,2388,1672
8609,1055,2405,1665
9249,1070,2416,1664
9889,1064,2382,1670
10529,1072,2406,1646
11169,1077,2391,1660
11809,1048,2419,1665
12449,1060,2409,1630
13089,1062,2397,1656
13729,1084,2411,1662
14369,1072,2397,1682
15009,1054,2394,1680
15649,1053,2409,1664
16289,1060,2402,1664
16929,1065,2405,1675
17569,1075,2406,1661
18209,1076,2399,1649
18849,1084,2399,1664
19489,1077,2410,1677
20129,1059,2397,1637
20769,1059,2397,1670
21409,1058,2405,1652
22049,1057,2417,1627
22689,1067,2413,1650
23329,1056,2397,1647
23969,1062,2403,1665
24609,1071,2399,1664
25249,1076,2398,1653
25889,1082,2423,1671
26529,1073,2388,1680
27169,1075,2411,1624
27809,1058,2417,1637
28449,1078,2423,1653
29089,1073,2414,1663
29729,1051,2435,1667
30369,1072,2391,1639
31009,1065,2387,1648
31649,1067,2387,1662
32289,1073,2416,1632
32929,1067,2438,1641
33569,1053,2421,1657
34209,1081,2400,1636
34849,1081,2407,1666
35489,1056,2418,1655
36129,1077,2392,1664
36769,1059,2405,1649
37409,1054,2399,1643
38049,1086,2410,1667
38689,1090,2426,1657
39329,1078,2408,1673
39969,1079,2415,1669
40609,1064,2432,1671
41249,1087,2405,1660
41889,1068,2411,1642
42529,1097,2409,1660
43169,1050,2412,1652
43809,1064,2391,1638
44449,1046,2414,1646
45089,1043,2411,1655
45729,1076,2403,1651
46369,1055,2414,1647
47009,1072,2386,1650
47649,1073,2401,1633
48289,1060,2423,1653
48929,1081,2393,1673
49569,1071,2415,1656
50209,1056,2415,1664
50849,1067,2415,1655
51489,1060,2401,1644
52129,1084,2406,1634
52769,1067,2396,1657
53409,1067,2403,1644
54049,1044,2343,1691
54689,1056,2370,1681
55329,1091,2463,1607
55969,1032,2349,1675
56609,1030,2371,1623
57249,1078,2463,1648
57889,1055,2387,1694
58529,1047,2354,1684
59169,1071,2468,1632
59809,1110,2357,1645
60449,1071,2386,1652
61089,1085,2371,1596
61729,961,2207,1654
62369,1064,2428,1675
63009,1031,2381,1626
63649,1054,2403,1664
64289,1075,2405,1640
64929,1030,2369,1626
33,1033,2426,1655
673,1070,2375,1620
1313,1111,2450,1594
1953,1068,2407,1655
2593,1031,2400,1640
3233,1067,2398,1643
3873,1065,2427,1603
4513,1060,2358,1647
5153,1077,2397,1655
5793,1071,2408,1635
6433,1073,2425,1602
7073,1080,2409,1634
7713,1072,2369,1638
8353,1024,2342,1688
8993,1016,2359,1688
9633,1038,2326,1672
10273,1092,2392,1644
10913,1112,2445,1659
11553,1106,2438,1636
12193,1088,2379,1633
12833,1072,2391,1628
13473,1060,2371,1670
14113,1010,2380,1721
14753,1042,2394,1694
15393,1179,2423,1688
16033,1057,2357,1679
16673,1059,2419,1604
17313,1071,2395,1668
17953,1049,2406,1713
18593,1001,2343,1744
19233,1027,2354,1742
19873,1129,2395,1678
20513,1084,2352,1726
21153,1077,2398,1687
21793,1039,2390,1703
22433,998,2347,1726
23073,1062,2410,1688
23713,1060,2458,1685
24353,1074,2408,1695
24993,1070,2373,1706
25633,1047,2378,1693
26273,1097,2401,1685
26913,1020,2320,1731
27553,1053,2369,1696
28193,1082,2363,1724
28833,1064,2379,1707
29473,1057,2340,1725
30113,1006,2324,1785
30753,850,2318,1705
31393,1028,2417,1716
32033,950,2413,1738
32673,1188,2431,1690
33313,1201,2447,1759
33953,1075,2385,1864
34593,1133,2459,1813
35233,1066,2484,1827
35873,1048,2458,1833
36513,1146,2488,1753
37153,1124,2484,1791
37793,1069,2473,1864
38433,1355,2607,1732
39073,1144,2580,1804
39713,1153,2564,1743
40353,1166,2558,1741
40993,1152,2563,1718
41633,1188,2558,1715
42273,1125,2762,1740
42913,1013,2458,1813
43553,1048,2536,1797
44193,1123,2550,1736
44833,1135,2582,1687
45473,1141,2607,1685
46113,1105,2541,1695
46753,1132,2645,1701
47393,1108,2547,1717
48033,1081,2499,1774
48673,1038,2543,1818
49313,1034,2523,1744
49953,1060,2460,1751
50593,1180,2413,1704
51233,1080,2510,1740
51873,1108,2450,1709
52513,1075,2482,1727
53153,1006,2412,1781
53793,1122,2491,1738
54433,1108,2446,1708
55073,1087,2463,1723
55713,1093,2435,1715
56353,1093,2461,1780
56993,1089,2465,1759
57633,1099,2484,1753
58273,1110,2468,1724
58945,1072,2462,1710
59585,1112,2470,1713
60225,1082,2474,1733
60865,1086,2463,1703
61505,1098,2497,1700
62145,1084,2503,1707
62785,1048,2480,1699
63425,1088,2498,1695
64065,1083,2472,1706
64705,1089,2511,1681
65345,1072,2493,1690
449,1097,2495,1683
1089,1086,2499,1680
1729,1100,2474,1712
2369,1108,2513,1686
3009,1102,2494,1691
3649,1095,2511,1667
4289,1096,2501,1688
4929,1090,2504,1666
5569,1104,2509,1690
6209,1111,2505,1685
6849,1104,2518,1709
7489,1085,2490,1672
8129,1103,2507,1666
8769,1114,2517,1653
9409,1099,2509,1659
10049,1098,2480,1666
10689,1077,2472,1675
11329,1097,2479,1683
11969,1090,2512,1669
12609,1065,2496,1669
13249,1108,2521,1631
13889,1096,2513,1624
14529,1083,2491,1616
15169,1084,2500,1654
15809,1127,2517,1627
16449,1091,2524,1619
17089,1088,2485,1613
17729,1092,2520,1618
18369,1092,2507,1618
19009,1089,2507,1618
19649,1097,2517,1602
20289,1112,2533,1585
20929,1081,2541,1542
21569,1121,2500,1519
22209,1124,2481,1521
22849,1108,2503,1455
23489,1090,2536,1482
24129,1109,2541,1528
24769,1086,2502,1512
25409,1103,2446,1479
26049,1136,2457,1464
26689,1092,2443,1436
27329,1148,2458,1437
27969,1120,2453,1482
28609,1143,2434,1452
29249,1103,2397,1474
